name,trimmed_mean_force_time,std_force_time,speedup,speedup_err,max_relative_energy_drift,status
baseline,1.9528517203625,0.03216495433827184,1.0,0.023293173866703806,3.699530701e-07,OK
blocking-newton3rd,1.078307895125,0.00847008566937993,1.811033499050956,0.03304759848741375,3.699530701e-07,OK
