# serial direct N-body DKD baseline
# arithmetic_dtype=double binary_storage=float32 format=nbody-f32-v1
# N=10000 nsteps=1000 dt=0.0001 eps=0.050000000000000003 G=1 mass=1
# step time kinetic potential total rel_energy_drift
0 0 14781846.088864656 -28882051.247247882 -14100205.158383226 0
50 0.0050000000000000001 14696242.758805681 -28796447.905223496 -14100205.146417815 8.4859834658312879e-10
100 0.01 14596078.114091082 -28696282.468768451 -14100204.35467737 5.6999585975966633e-08
150 0.015000000000000001 14469603.177995695 -28569807.31630154 -14100204.138305845 7.2344860931088049e-08
200 0.02 14329105.49282735 -28429309.25634725 -14100203.7635199 9.8925037645511444e-08
250 0.025000000000000001 14197558.032476325 -28297760.633271798 -14100202.600795474 1.8138656305990713e-07
300 0.030000000000000002 14079844.215232939 -28180046.612620845 -14100202.397387907 1.9581242174136704e-07
350 0.035000000000000003 13961388.143805388 -28061590.110591721 -14100201.966786332 2.2635109615381138e-07
400 0.040000000000000001 13851636.40717859 -27951837.940504383 -14100201.533325793 2.5709253107180971e-07
450 0.045000000000000005 13757208.1342349 -27857409.491892472 -14100201.357657572 2.6955108887248195e-07
500 0.050000000000000003 13693990.705209617 -27794192.632260971 -14100201.927051354 2.2916913871294274e-07
550 0.055 13659208.609468201 -27759410.702253673 -14100202.092785472 2.174151169814132e-07
600 0.060000000000000005 13647968.345596414 -27748169.961082507 -14100201.615486093 2.5126564424846264e-07
650 0.065000000000000002 13658803.682755062 -27759006.575092729 -14100202.892337667 1.6071011263622608e-07
700 0.070000000000000007 13686902.841301855 -27787105.474754483 -14100202.633452628 1.790704865533875e-07
750 0.074999999999999997 13725554.445416566 -27825756.899222743 -14100202.453806177 1.9181118422468296e-07
800 0.080000000000000002 13768679.914477183 -27868883.144563276 -14100203.230086094 1.367566720195688e-07
850 0.085000000000000006 13810939.718336122 -27911142.847394377 -14100203.129058255 1.4392166272367343e-07
900 0.090000000000000011 13853750.987117292 -27953954.51889272 -14100203.531775428 1.1536057665606514e-07
950 0.095000000000000001 13897697.955045097 -27997900.692865089 -14100202.737819992 1.7166865352857382e-07
1000 0.10000000000000001 13918997.747015936 -28019201.086195 -14100203.339179063 1.2901969456271856e-07
# final: N=10000 steps=1000 arithmetic_dtype=double max_relative_energy_drift=2.6955108887248195e-07 tolerance=0.001 status=OK
